Date,Open,High,Low,Close,Volume
24-Feb-12,519.67,522.9,518.64,522.41,14831415
23-Feb-12,515.08,517.83,509.5,516.39,20286616
22-Feb-12,513.08,515.49,509.07,513.04,17260544
21-Feb-12,506.88,514.85,504.12,514.85,21628057
17-Feb-12,503.11,507.77,500.3,502.12,19135313
16-Feb-12,491.5,504.89,486.63,502.21,33733915
15-Feb-12,514.26,526.29,496.89,497.67,53789720
14-Feb-12,504.66,509.56,502,509.46,16497573
13-Feb-12,499.53,503.83,497.09,502.6,18471658
10-Feb-12,490.96,497.62,488.55,493.42,22546425
09-Feb-12,480.76,496.75,480.56,493.17,31579086
08-Feb-12,470.5,476.79,469.7,476.68,14567040
07-Feb-12,465.25,469.75,464.58,468.83,11293609
06-Feb-12,458.38,464.98,458.2,463.97,8917228
03-Feb-12,457.3,460,455.56,459.68,10245287
02-Feb-12,455.9,457.17,453.98,455.12,6671221
01-Feb-12,458.41,458.99,455.55,456.19,9644366
31-Jan-12,455.59,458.24,453.07,456.48,13996855
30-Jan-12,445.71,453.9,445.39,453.01,13547439
27-Jan-12,444.34,448.48,443.77,447.28,10710233
26-Jan-12,448.36,448.79,443.14,444.63,11579673
25-Jan-12,454.44,454.45,443.73,446.66,34223691
24-Jan-12,425.1,425.1,419.55,420.41,19558473
23-Jan-12,422.67,428.45,422.3,427.41,10930778
20-Jan-12,427.49,427.5,419.75,420.3,14784607
19-Jan-12,430.15,431.37,426.51,427.75,9347779
18-Jan-12,426.96,429.47,426.3,429.11,9885394
17-Jan-12,424.2,425.99,422.96,424.7,8674865
13-Jan-12,419.81,419.81,419.81,419.81,0
12-Jan-12,422.28,422.9,418.75,421.39,7597273
11-Jan-12,422.68,422.85,419.31,422.55,7685437
10-Jan-12,425.91,426,421.5,423.24,9225966
09-Jan-12,425.5,427.75,421.35,421.73,14072256
06-Jan-12,419.77,422.75,419.22,422.4,11370916
05-Jan-12,414.95,418.55,412.67,418.03,9688115
04-Jan-12,410,414.68,409.28,413.44,9294444
03-Jan-12,409.4,412.5,409,411.23,10794957
30-Dec-11,405,405,405,405,0
29-Dec-11,403.4,405.65,400.51,405.12,7719863
28-Dec-11,406.89,408.25,401.34,402.64,8173461
27-Dec-11,403.1,409.09,403.02,406.53,9472659
23-Dec-11,403.43,403.43,403.43,403.43,0
22-Dec-11,397,399.13,396.1,398.55,7227016
21-Dec-11,396.69,397.3,392.01,396.44,9390954
20-Dec-11,387.76,396.1,387.26,395.95,12050104
19-Dec-11,382.47,384.85,380.48,382.21,8411702
16-Dec-11,380.36,384.15,379.57,381.02,15056343
15-Dec-11,383.33,383.74,378.31,378.94,9158875
14-Dec-11,386.7,387.38,377.68,380.19,14541240
13-Dec-11,393,395.4,387.1,388.81,12112029
12-Dec-11,391.68,393.9,389.45,391.84,10752338
09-Dec-11,392.85,394.04,391.03,393.62,10612255
08-Dec-11,391.45,395.5,390.23,390.66,13441293
07-Dec-11,389.93,390.94,386.76,389.09,10892847
06-Dec-11,392.51,394.63,389.38,390.95,10135859
05-Dec-11,393.49,396.41,390.39,393.01,12763161
02-Dec-11,389.83,393.63,388.58,389.7,13545470
01-Dec-11,382.54,389,380.75,387.93,13827834
30-Nov-11,381.29,382.28,378.3,382.2,14502386
29-Nov-11,375.84,378.83,370.2,373.2,13429694
28-Nov-11,372.35,376.72,370.33,376.12,12380122
25-Nov-11,368.42,371.15,363.32,363.57,9098543
23-Nov-11,366.99,366.99,366.99,366.99,0
22-Nov-11,371.02,377.93,370.94,376.51,14617763
21-Nov-11,370.4,371.68,365.91,369.01,16007227
18-Nov-11,378.92,379.99,374.88,374.94,13288395
17-Nov-11,383.98,384.58,375.5,377.41,17147164
16-Nov-11,389.25,391.14,384.32,384.77,12471716
15-Nov-11,380.8,389.5,379.45,388.83,15392116
14-Nov-11,383.52,385.25,378.2,379.26,15466501
11-Nov-11,386.61,388.7,380.26,384.62,23349431
10-Nov-11,397.03,397.21,382.15,385.22,26606467
09-Nov-11,396.97,400.89,394.23,395.28,19952990
08-Nov-11,402.21,408,401.56,406.23,14301406
07-Nov-11,399.91,400,396.13,399.73,9652257
04-Nov-11,402.03,403.44,399.16,400.24,10793856
03-Nov-11,399.07,403.4,395.36,403.07,15768725
02-Nov-11,400.09,400.44,395.11,397.41,11723381
01-Nov-11,397.41,399.5,393.22,396.51,18992411
31-Oct-11,402.42,409.33,401.05,404.78,13772329
28-Oct-11,403,406.35,402.51,404.95,11529964
27-Oct-11,407.56,409,401.89,404.69,17673331
26-Oct-11,401.76,402.55,393.15,400.6,16296426
25-Oct-11,405.03,406.55,397.38,397.77,15378600
24-Oct-11,396.18,406.5,395.4,405.77,17941292
21-Oct-11,398.1,399.14,390.75,392.87,22187216
20-Oct-11,400,400.35,394.21,395.31,19626042
19-Oct-11,401.35,408.42,397.8,398.62,39428299
18-Oct-11,421.76,424.81,415.99,422.24,31485728
17-Oct-11,421.74,426.7,415.94,419.99,24501528
14-Oct-11,416.83,422,415.27,422,20477390
13-Oct-11,404.98,408.43,402.85,408.43,15220825
12-Oct-11,407.34,409.25,400.14,402.19,22224426
11-Oct-11,392.57,403.18,391.5,400.29,21631495
10-Oct-11,379.09,388.81,378.21,388.81,15804041
07-Oct-11,375.78,377.74,368.49,369.8,19129166
06-Oct-11,373.33,384.78,371.8,377.37,29020722
05-Oct-11,367.86,379.82,360.3,378.25,28088194
04-Oct-11,374.57,381.8,354.24,372.5,44059841
03-Oct-11,380.37,382.64,373.17,374.6,23895573
30-Sep-11,387.12,388.89,381.18,381.32,19579889
29-Sep-11,401.92,402.21,386.21,390.57,23263021
28-Sep-11,400.19,403.74,396.51,397.01,15351883
27-Sep-11,408.73,409.25,398.06,399.26,22589196
26-Sep-11,399.86,403.98,391.3,403.17,29031266
23-Sep-11,400.28,406.74,399.85,404.3,19517230
22-Sep-11,401.03,409.82,396.7,401.82,34588591
21-Sep-11,419.64,421.59,412,412.14,21641965
20-Sep-11,415.25,422.86,411.19,413.45,27705327
19-Sep-11,397,413.23,395.2,411.63,29423540
16-Sep-11,395.54,400.5,395.03,400.5,24946023
15-Sep-11,391.43,393.66,389.9,392.96,14922083
14-Sep-11,387.02,392.21,385.76,389.3,19097264
13-Sep-11,382.14,386.21,380.25,384.62,15740641
12-Sep-11,373,380.88,371.9,379.94,16708284
09-Sep-11,383.93,386,375.02,377.48,20181344
08-Sep-11,382.4,388.61,382.31,384.14,14862780
07-Sep-11,385.56,385.6,382,383.93,12520542
06-Sep-11,367.37,380.33,366.48,379.74,18203447
02-Sep-11,374.74,378,371.83,374.05,15684502
01-Sep-11,385.82,387.34,380.72,381.03,12275815
31-Aug-11,390.57,392.08,381.86,384.83,18669842
30-Aug-11,388.25,391.84,386.21,389.99,14925752
29-Aug-11,388.18,391.5,388,389.97,14473307
26-Aug-11,371.17,383.8,370.8,383.58,22909823
25-Aug-11,365.08,375.45,365,373.72,31117868
24-Aug-11,373.47,378.96,370.6,376.18,22366701
23-Aug-11,360.3,373.64,357,373.6,23458368
22-Aug-11,364.51,364.88,355.09,356.44,19118030
19-Aug-11,362.17,367,356,356.03,27710078
18-Aug-11,370.84,372.65,361.37,366.05,30408327
17-Aug-11,382.31,384.52,378,380.44,15787849
16-Aug-11,381.52,383.37,376.06,380.48,17817446
15-Aug-11,379.63,384.97,378.09,383.41,16447924
12-Aug-11,378.02,379.64,374.23,376.99,18891915
11-Aug-11,370.52,375.45,364.72,373.7,26498730
10-Aug-11,371.15,374.65,362.5,363.69,31380328
09-Aug-11,0,374.61,355,374.01,38663672
08-Aug-11,361.69,367.77,353.02,353.21,40850172
05-Aug-11,380.44,383.5,362.57,373.62,43020050
04-Aug-11,389.41,391.32,377.35,377.37,31121632
03-Aug-11,388.22,393.55,382.24,392.57,26160828
02-Aug-11,397.65,397.9,388.35,388.91,22840680
01-Aug-11,397.78,399.5,392.37,396.75,21886851
29-Jul-11,387.64,395.15,384,390.48,22592270
28-Jul-11,391.62,396.99,388.13,391.82,21215156
27-Jul-11,400.59,402.64,392.15,392.59,23547210
26-Jul-11,400,404.5,399.68,403.41,17020718
25-Jul-11,390.35,400,389.62,398.5,21064442
22-Jul-11,388.32,395.05,387.75,393.3,18454555
21-Jul-11,386.95,390.06,383.9,387.29,18804148
20-Jul-11,396.12,396.27,386,386.9,33618816
19-Jul-11,378,378.65,373.32,376.85,29255192
18-Jul-11,365.43,374.65,365.28,373.8,20451089
15-Jul-11,361.17,365,359.17,364.92,17302334
14-Jul-11,361.01,361.61,356.34,357.77,15376165
13-Jul-11,358.33,360,356.38,358.02,13987074
12-Jul-11,353.53,357.68,348.62,353.75,16128813
11-Jul-11,356.34,359.77,352.82,354,15816282
08-Jul-11,353.34,360,352.2,359.71,17497377
07-Jul-11,354.67,358,354,357.2,14273617
06-Jul-11,348.95,354.1,346.71,351.76,15879463
05-Jul-11,343,349.83,342.5,349.43,12688374
01-Jul-11,343.26,343.26,343.26,343.26,0
30-Jun-11,334.7,336.13,332.84,335.67,11543913
29-Jun-11,336.04,336.37,331.88,334.04,12597010
28-Jun-11,333.65,336.7,333.44,335.26,10510701
27-Jun-11,327.59,333.9,327.25,332.04,12141419
24-Jun-11,331.37,333.15,325.09,326.35,15711616
23-Jun-11,318.94,331.69,318.12,331.23,19991322
22-Jun-11,325.16,328.9,322.38,322.61,13949348
21-Jun-11,316.68,325.8,315.2,325.3,17620502
20-Jun-11,317.36,317.7,310.5,315.32,22880182
17-Jun-11,328.99,329.25,319.36,320.26,21981807
16-Jun-11,326.9,328.68,318.33,325.16,18235334
15-Jun-11,329.75,330.3,324.88,326.75,14264555
14-Jun-11,330,333.25,329.31,332.44,11948843
13-Jun-11,327.2,328.31,325.07,326.6,11773444
10-Jun-11,330.55,331.66,325.51,325.9,15504200
09-Jun-11,333.25,333.67,330.75,331.49,9834457
08-Jun-11,331.78,334.8,330.65,332.24,11924511
07-Jun-11,338.17,338.22,331.9,332.04,18927580
06-Jun-11,345.96,347.05,337.81,338.04,16497811
03-Jun-11,343.18,345.33,342.01,343.44,11194395
02-Jun-11,346.5,347.98,344.3,346.1,12103016
01-Jun-11,348.87,352.13,344.65,345.51,19810086
31-May-11,341.1,347.83,341,347.83,14919162
27-May-11,337.41,337.41,337.41,337.41,0
26-May-11,335.97,336.89,334.44,335,7953393
25-May-11,333.43,338.56,332.85,336.78,10507919
24-May-11,335.5,335.9,331.34,332.19,11502950
23-May-11,329.97,335.98,329.42,334.4,13661031
20-May-11,339.56,340.95,335.02,335.22,12078244
19-May-11,342.08,342.41,338.67,340.53,9327330
18-May-11,336.47,341.05,336,339.87,11956181
17-May-11,332,336.14,330.73,336.14,16170951
16-May-11,339.2,341.22,332.6,333.3,16076482
13-May-11,345.66,346.25,340.35,340.5,11649708
12-May-11,346.12,347.12,342.27,346.57,11462799
11-May-11,349.02,350,345.24,347.23,12002669
10-May-11,348.89,349.69,346.66,349.45,10074567
09-May-11,347.86,349.2,346.53,347.6,7312593
06-May-11,349.69,350,346.21,346.66,10008755
05-May-11,348.4,350.95,346.05,346.75,12009336
04-May-11,348.26,351.83,321.87,349.57,13901747
03-May-11,347.99,349.89,345.62,348.2,11198607
02-May-11,349.74,350.47,345.5,346.28,15811178
29-Apr-11,346.78,353.95,346.67,350.13,35940847
28-Apr-11,346.19,349.75,345.52,346.75,12899589
27-Apr-11,352.24,352.35,347.1,350.15,12721841
26-Apr-11,353.62,354.99,349.35,350.42,12057235
25-Apr-11,350.34,353.75,350.3,353.01,9519470
21-Apr-11,350.7,350.7,350.7,350.7,0
20-Apr-11,343.51,345.75,341.5,342.41,25023406
19-Apr-11,333.1,337.98,331.71,337.86,14977749
18-Apr-11,326.1,332.23,320.16,331.85,21782061
15-Apr-11,333.3,333.64,326.8,327.46,16208321
14-Apr-11,334.8,336,332.06,332.42,10785343
13-Apr-11,335.02,336.14,332.52,336.13,12372709
12-Apr-11,330.49,333.73,330.2,332.4,15232440
11-Apr-11,334.06,335.67,330.02,330.8,14255374
08-Apr-11,339.92,340.15,333.95,335.06,13483331
07-Apr-11,338.1,340.43,336.03,338.08,13337360
06-Apr-11,341.22,343.9,337.14,338.04,14376383
05-Apr-11,336.99,342.25,336,338.89,17248687
04-Apr-11,344.31,344.6,338.4,341.19,16431506
01-Apr-11,351.11,351.59,343.3,344.56,14952200
31-Mar-11,346.36,349.8,346.06,348.51,9798858
30-Mar-11,350.64,350.88,347.44,348.63,11764467
29-Mar-11,347.66,350.96,346.06,350.96,12603565
28-Mar-11,353.15,354.32,350.44,350.44,11048201
25-Mar-11,348.07,352.06,347.02,351.54,16041828
24-Mar-11,341.85,346,338.86,344.97,14453960
23-Mar-11,339.28,340.22,335.95,339.19,13321214
22-Mar-11,342.56,342.62,339.14,341.2,11651166
21-Mar-11,335.99,339.74,335.26,339.3,14621080
18-Mar-11,337.13,338.2,330,330.67,26900372
17-Mar-11,336.83,339.61,330.66,334.64,23550711
16-Mar-11,342,343,326.26,330.01,41312518
15-Mar-11,342.1,347.84,340.1,345.43,25735619
14-Mar-11,353.18,356.48,351.31,353.56,15587670
11-Mar-11,345.33,352.32,345,351.99,16824288
10-Mar-11,349.12,349.77,344.9,346.67,18138865
09-Mar-11,354.69,354.76,350.6,352.47,16192719
08-Mar-11,354.91,357.4,352.25,355.76,12725565
07-Mar-11,361.4,361.67,351.31,355.36,19504307
04-Mar-11,360.07,360.29,357.75,360,16188069
03-Mar-11,357.19,359.79,355.92,359.56,17885252
02-Mar-11,349.96,354.35,348.4,352.12,21521027
01-Mar-11,355.47,355.72,347.68,349.31,16290309
28-Feb-11,351.24,355.05,351.12,353.21,14395497
25-Feb-11,345.26,348.43,344.8,348.16,13572069
24-Feb-11,344.02,345.15,338.37,342.88,17853502
23-Feb-11,338.77,344.64,338.61,342.62,23994706
22-Feb-11,342.15,345.4,337.72,338.61,31162223
18-Feb-11,350.56,350.56,350.56,350.56,0
17-Feb-11,357.25,360.27,356.52,358.3,18949072
16-Feb-11,360.8,364.9,360.5,363.13,17184119
15-Feb-11,359.19,359.97,357.55,359.9,10149063
14-Feb-11,356.79,359.48,356.71,359.18,11086213
11-Feb-11,354.75,357.8,353.54,356.85,13127564
10-Feb-11,357.39,360,348,354.54,33162480
09-Feb-11,355.19,359,354.87,358.16,17240870
08-Feb-11,353.68,355.52,352.15,355.2,13608558
07-Feb-11,347.89,353.25,347.64,351.88,17322130
04-Feb-11,343.64,346.7,343.51,346.5,11494225
03-Feb-11,343.8,344.24,338.55,343.44,14064164
02-Feb-11,344.45,345.25,343.55,344.32,9248401
01-Feb-11,341.3,345.65,340.98,345.03,15236849
31-Jan-11,335.8,340.04,334.3,339.32,13473086
28-Jan-11,344.17,344.4,333.53,336.1,21144878
27-Jan-11,343.78,344.69,342.83,343.21,10179423
26-Jan-11,342.96,345.6,341.5,343.85,18102397
25-Jan-11,336.33,341.44,334.57,341.4,19530950
24-Jan-11,326.87,337.45,326.72,337.45,20524364
21-Jan-11,333.77,334.88,326.63,326.72,26942816
20-Jan-11,336.43,338.3,330.12,332.68,27313899
19-Jan-11,348.35,348.6,336.88,338.84,40557457
18-Jan-11,329.52,344.76,326,340.65,67178100
14-Jan-11,348.48,348.48,348.48,348.48,0
13-Jan-11,345.16,346.64,343.85,345.68,10648026
12-Jan-11,343.25,344.43,342,344.42,10806330
11-Jan-11,344.88,344.96,339.47,341.64,15859999
10-Jan-11,338.83,343.23,337.17,342.46,16019926
07-Jan-11,333.99,336.35,331.9,336.12,11140316
06-Jan-11,334.72,335.25,332.9,333.73,10729518
05-Jan-11,329.55,334.34,329.5,334,9125599
04-Jan-11,332.44,332.5,328.15,331.29,11048143
03-Jan-11,325.64,330.26,324.84,329.57,15897201
31-Dec-10,322.95,323.48,321.31,322.56,6916261
30-Dec-10,325.48,325.51,323.05,323.66,5630713
29-Dec-10,326.22,326.45,325.1,325.29,5831096
28-Dec-10,325.91,326.66,325.06,325.47,6282971
27-Dec-10,322.85,325.44,321.52,324.68,8921957
23-Dec-10,323.6,323.6,323.6,323.6,0
22-Dec-10,324.36,325.72,323.55,325.16,9505147
21-Dec-10,323,324.39,322.05,324.2,9155412
20-Dec-10,321.6,323.25,318.23,322.21,13771742
17-Dec-10,321.63,321.79,320.23,320.61,13826724
16-Dec-10,321.09,322.61,320.1,321.25,11501014
15-Dec-10,320,323,319.19,320.36,14903902
14-Dec-10,321.73,322.54,319,320.29,12555966
13-Dec-10,324.37,325.06,321,321.67,15707619
10-Dec-10,319.65,321.05,318.6,320.56,9377749
09-Dec-10,322.13,322.5,319.02,319.76,10505218
08-Dec-10,319.63,321.02,317.11,321.01,11497643
07-Dec-10,323.8,323.99,318.12,318.21,13980495
06-Dec-10,318.64,322.33,318.42,320.15,16017161
03-Dec-10,317.01,318.65,316.34,317.44,12227469
02-Dec-10,317.53,319,314.89,318.15,16558988
01-Dec-10,315.27,317.75,315,316.4,16491096
30-Nov-10,313.54,314.36,310.87,311.15,17923329
29-Nov-10,315.5,317.48,311.38,316.87,15919985
26-Nov-10,313.74,317.7,312.94,315,8490891
24-Nov-10,314.8,314.8,314.8,314.8,0
23-Nov-10,310.45,311.75,306.56,308.73,18551612
22-Nov-10,306.68,313.36,305.87,313.36,14038356
19-Nov-10,307.97,308.4,305.24,306.73,13744399
18-Nov-10,305.2,309.67,304.69,308.43,17660349
17-Nov-10,301.2,303.99,297.76,300.5,17123201
16-Nov-10,305.72,307.6,299.32,301.59,23533906
15-Nov-10,308.46,310.54,306.27,307.04,14414422
12-Nov-10,316,316.5,303.63,308.03,28423066
11-Nov-10,315,318.4,314.25,316.66,12902919
10-Nov-10,316.64,318.77,313.55,318.03,13722339
09-Nov-10,321.05,321.3,314.5,316.08,13704115
08-Nov-10,319.36,319.77,316.76,318.62,10061901
05-Nov-10,317.99,319.57,316.75,317.13,12901895
04-Nov-10,315.45,320.18,315.03,318.27,22945997
03-Nov-10,311.37,312.88,308.53,312.8,18155264
02-Nov-10,307,310.19,307,309.36,15497491
01-Nov-10,302.22,305.6,302.2,304.18,15138893
29-Oct-10,304.23,305.88,300.87,300.98,15375304
28-Oct-10,307.95,308,300.9,305.24,19680220
27-Oct-10,307.65,309.9,305.6,307.83,14250010
26-Oct-10,306.87,309.74,305.65,308.05,14033191
25-Oct-10,309.09,311.6,308.44,308.84,14015428
22-Oct-10,309.07,310.04,306.3,307.47,13313408
21-Oct-10,312.36,314.74,306.8,309.52,19694903
20-Oct-10,309,314.25,306.87,310.53,25772290
19-Oct-10,303.4,313.77,300.02,309.49,44027119
18-Oct-10,318.47,319,314.29,318,39444913
15-Oct-10,307.44,315,304.91,314.74,32935492
14-Oct-10,301.69,302.47,300.4,302.31,15546275
13-Oct-10,300.2,301.96,299.8,300.14,22503227
12-Oct-10,295.41,299.5,292.49,298.54,19947809
11-Oct-10,294.74,297.24,294.6,295.36,15276819
08-Oct-10,291.71,294.5,290,294.07,23514402
07-Oct-10,290.34,290.48,286.91,289.22,14585611
06-Oct-10,289.59,291.99,285.26,289.19,23959502
05-Oct-10,282,289.45,281.82,288.94,17927350
04-Oct-10,281.6,282.9,277.77,278.64,15546424
01-Oct-10,286.15,286.58,281.35,282.52,16014492
30-Sep-10,289,290,281.25,283.75,24049636
29-Sep-10,287.23,289.81,286,287.37,16772944
28-Sep-10,291.77,291.77,275,286.86,36965773
27-Sep-10,293.98,294.73,291.01,291.16,17253559
24-Sep-10,292.1,293.53,290.55,292.32,23195972
23-Sep-10,286.33,292.76,286,288.92,28075553
22-Sep-10,282.71,287.98,282.41,287.75,20907682
21-Sep-10,283.86,287.35,282.79,283.77,23916983
20-Sep-10,276.08,283.78,275.85,283.23,23546119
17-Sep-10,277.69,277.96,273.68,275.37,22659813
16-Sep-10,270.24,276.67,269.5,276.57,23289341
15-Sep-10,268.17,270.38,267.84,270.22,15334510
14-Sep-10,266.21,269.17,265.52,268.06,14576759
13-Sep-10,265.82,268.28,265.76,267.04,13884995
10-Sep-10,263.19,264.5,261.4,263.41,13848617
09-Sep-10,265.04,266.52,262.92,263.07,15663371
08-Sep-10,259.78,264.39,259.1,262.92,18805302
07-Sep-10,256.64,259.53,256.25,257.81,12243759
06-Sep-10,258.77,258.77,258.77,258.77,0
03-Sep-10,258.77,258.77,258.77,258.77,0
02-Sep-10,251.26,252.17,248.57,252.17,14836614
01-Sep-10,247.47,251.46,246.28,250.33,24894115
31-Aug-10,241.85,244.56,240.35,243.1,15028086
30-Aug-10,240.76,245.75,240.69,242.5,13688842
27-Aug-10,241.75,241.76,240.2,241.62,19592368
26-Aug-10,245.45,245.75,240.28,240.28,16660829
25-Aug-10,238.04,243.99,237.41,242.89,21316604
24-Aug-10,242.67,243,240.11,239.93,21519744
23-Aug-10,251.79,252,245.25,245.8,14788116
20-Aug-10,249.39,253.92,249,249.64,13722458
19-Aug-10,252.84,253.48,248.68,249.88,15239461
18-Aug-10,252.36,254.67,251.58,253.07,12131989
17-Aug-10,250.08,254.63,250,251.97,15094603
16-Aug-10,247.58,250.01,246.62,247.64,11372407
13-Aug-10,251.65,251.65,249.09,249.1,12673805
12-Aug-10,246.69,253.1,246.6,251.79,19104262
11-Aug-10,255.4,255.69,249.81,250.19,22144724
10-Aug-10,259.85,260.45,257.55,259.41,16139915
09-Aug-10,261.48,262.15,259.57,261.75,10825908
06-Aug-10,259.78,261.49,257.63,260.09,15893330
05-Aug-10,261.73,263.18,260.55,261.7,10334374
04-Aug-10,262.84,264.28,260.31,262.98,15019868
03-Aug-10,261.01,263.26,259.42,261.93,14916174
02-Aug-10,260.44,262.59,259.62,261.85,15288718
30-Jul-10,255.89,259.7,254.9,257.25,16016280
29-Jul-10,260.71,262.65,256.1,258.11,22993055
28-Jul-10,263.67,265.99,260.25,260.96,18570870
27-Jul-10,260.87,264.8,260.3,264.08,20884663
26-Jul-10,260,260.1,257.71,259.28,15019636
23-Jul-10,257.09,260.38,256.28,259.94,19049523
22-Jul-10,257.68,260,255.31,259.02,23047046
21-Jul-10,265.09,265.15,254,254.24,42345346
20-Jul-10,242.9,252.9,240.01,251.89,38391073
19-Jul-10,249.88,249.88,239.6,245.58,36589212
16-Jul-10,253.18,254.97,248.41,249.9,37137768
15-Jul-10,248.23,256.97,247.3,251.45,29459407
14-Jul-10,249.38,255.8,249,252.73,29006112
13-Jul-10,256.32,256.4,246.43,251.8,42534094
12-Jul-10,258.53,261.85,254.86,257.28,20102748
09-Jul-10,256.89,259.9,255.16,259.62,15484791
08-Jul-10,262.48,262.9,254.89,258.09,26362523
07-Jul-10,250.49,258.77,249.75,258.66,23377116
06-Jul-10,251,252.8,246.16,248.63,21972668
05-Jul-10,246.94,246.94,246.94,246.94,0
02-Jul-10,246.94,246.94,246.94,246.94,0
01-Jul-10,254.3,254.8,243.22,248.48,36534020
30-Jun-10,256.71,257.97,250.01,251.53,26409580
29-Jun-10,264.12,264.39,254.3,256.17,40476590
28-Jun-10,266.93,269.75,264.52,268.3,20908322
25-Jun-10,270.06,270.27,265.81,266.7,19640753
24-Jun-10,271,273.2,268.1,269,25540402
23-Jun-10,274.58,274.66,267.9,270.97,27444819
22-Jun-10,272.16,275.97,271.5,273.85,25616428
21-Jun-10,277.69,279.01,268.73,270.17,27731779
18-Jun-10,272.25,275,271.42,274.07,28022135
17-Jun-10,270.6,272.9,269.5,271.87,31195033
16-Jun-10,261.1,267.75,260.63,267.25,27988910
15-Jun-10,255.64,259.85,255.5,259.69,20895471
14-Jun-10,255.96,259.15,254.01,254.28,21534300
11-Jun-10,248.22,253.86,247.37,253.51,19491412
10-Jun-10,244.84,250.98,242.2,250.51,27726991
09-Jun-10,251.47,251.9,242.49,243.2,30522453
08-Jun-10,253.24,253.8,245.65,249.33,35741717
07-Jun-10,258.29,259.15,250.55,250.94,31677934
04-Jun-10,258.21,261.9,254.63,255.96,27087206
03-Jun-10,265.18,265.55,260.41,263.12,23219902
02-Jun-10,264.54,264.8,260.34,263.95,24590932
01-Jun-10,259.69,265.94,258.96,260.83,31302626
31-May-10,256.88,256.88,256.88,256.88,0
28-May-10,256.88,256.88,256.88,256.88,0
27-May-10,250.6,253.89,249.11,253.35,23796477
26-May-10,250.08,252.13,243.75,244.11,30380592
25-May-10,239.35,246.76,237.16,245.22,37429051
24-May-10,247.28,250.9,246.26,246.76,26937337
21-May-10,232.82,244.5,231.35,242.32,43710965
20-May-10,241.88,243.85,236.21,237.76,45818391
19-May-10,249.5,252.92,244.85,248.34,36633058
18-May-10,256.98,258.55,250.26,252.36,27952708
17-May-10,254.7,256.18,247.71,254.22,27244036
14-May-10,255.16,256.48,249.5,253.82,27120051
13-May-10,263.22,265,256.4,258.36,21418218
12-May-10,259.24,263.13,258.7,262.09,23370625
11-May-10,251.84,259.89,250.5,256.52,30369687
10-May-10,250.25,254.65,248.53,253.99,35153744
07-May-10,243.71,246.57,225.21,235.86,59857756
06-May-10,253.83,258.25,199.25,246.25,45923556
05-May-10,253.03,258.14,248.73,255.98,31539398
04-May-10,263.03,263.29,256.75,258.68,25850690
03-May-10,263.84,267.88,262.88,266.35,16226433
30-Apr-10,269.31,270.57,261,261.09,19373668
29-Apr-10,263.02,270,262.01,268.64,19958535
28-Apr-10,263.25,264,256.41,261.6,27085710
27-Apr-10,267.27,267.84,260.52,262.04,25333632
26-Apr-10,271.88,272.46,268.19,269.5,17109573
